"Time","acetate frame glasses"
"2021-02-01",0
"2021-03-01",17
"2021-04-01",0
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",11
"2022-04-01",15
"2022-05-01",14
"2022-06-01",0
"2022-07-01",20
"2022-08-01",0
"2022-09-01",0
"2022-10-01",0
"2022-11-01",0
"2022-12-01",0
"2023-01-01",14
"2023-02-01",0
"2023-03-01",12
"2023-04-01",0
"2023-05-01",14
"2023-06-01",0
"2023-07-01",0
"2023-08-01",21
"2023-09-01",0
"2023-10-01",12
"2023-11-01",17
"2023-12-01",14
"2024-01-01",20
"2024-02-01",0
"2024-03-01",0
"2024-04-01",0
"2024-05-01",18
"2024-06-01",20
"2024-07-01",0
"2024-08-01",18
"2024-09-01",24
"2024-10-01",0
"2024-11-01",24
"2024-12-01",32
"2025-01-01",18
"2025-02-01",38
"2025-03-01",27
"2025-04-01",26
"2025-05-01",29
"2025-06-01",29
"2025-07-01",27
"2025-08-01",38
"2025-09-01",18
"2025-10-01",33
"2025-11-01",56
"2025-12-01",45
"2026-01-01",41
"2026-02-01",100
