iter	MAE	RMSE
0	204.4694621	302.3923816
1	196.7759124	294.2966037
2	191.7383613	288.0520739
3	185.4106965	280.5877646
4	179.9726839	274.1172344
5	175.1660819	268.1268309
6	171.886833	264.0663209
7	168.0502392	259.2504887
8	165.4783592	256.6677365
9	163.0527183	253.8384532
10	160.9267597	251.3992884
11	158.2104589	247.804203
12	156.5731811	246.2203846
13	154.9623813	243.9936231
14	153.5162607	242.4706699
15	152.3059405	241.3463736
16	151.2011435	240.257027
17	150.1481395	239.1735505
18	148.009584	236.1560571
19	146.3725057	233.7284158
20	145.4799262	232.0207158
21	144.0041734	229.8731422
22	143.3906262	228.374146
23	142.19805	226.588671
24	140.9015939	225.0539094
25	139.8883312	223.7580855
26	138.8116221	222.5125611
27	138.2825689	221.5847676
28	137.4190968	220.6564431
29	136.9750039	220.2078269
30	136.6237003	219.5831966
31	136.3326588	219.1769133
32	135.7557238	218.2010529
33	135.4469803	217.7816472
34	134.7832128	217.112322
35	134.1726984	216.51616
36	133.8129554	215.9738863
37	133.1985895	214.8902031
38	132.6684127	214.3766042
39	132.076961	213.765007
40	130.9519035	212.725251
41	130.3841598	212.1619769
42	129.3018629	210.9535109
43	128.9776338	210.5002687
44	128.7936936	210.2413055
45	128.494681	209.8036374
46	127.8070781	209.0764277
47	127.7277128	208.9254494
48	127.5171177	208.5660755
49	127.4188644	208.4402858
50	126.9948407	208.0212727
51	126.7276426	207.6397838
52	125.9813468	206.7989263
53	125.7683636	206.4408143
54	125.1805655	205.7369197
55	124.8197356	204.6219416
56	124.5213755	203.7267994
57	124.4281954	203.4613446
58	124.0942753	202.4780312
59	123.5572048	201.8358654
60	123.4149728	201.3332153
61	123.1661231	200.6593588
62	123.0384619	200.4296191
63	122.449588	199.88051
64	122.1465544	199.4264295
65	121.7085967	198.983446
66	121.5028808	198.7206912
67	120.8925526	197.9022166
68	120.6559977	197.3184906
69	120.4193675	196.663108
70	120.2170841	196.2301988
71	119.5396128	195.6041574
72	119.1571894	195.0812256
73	118.950814	194.6511067
74	118.5383219	194.0559269
75	118.1999464	193.392747
76	118.0352298	193.040995
77	117.6557869	192.5945977
78	117.3036028	192.2557946
79	116.9516798	191.7348116
80	116.6217797	191.3762407
81	116.1320427	190.923071
82	116.0091782	190.70923
83	115.880065	190.4693315
84	115.6985702	190.0053942
85	115.5720342	189.6086471
86	115.2781031	189.1838256
87	115.0895583	188.8703384
88	114.8478143	188.5686837
89	114.7115833	188.2922935
90	114.5313563	187.9732671
91	114.4704682	187.756078
92	114.2245359	187.3380048
93	114.0713779	187.0658831
94	113.832944	186.6620149
95	113.5460795	186.2707237
96	113.3247019	185.9365535
97	113.2297888	185.7712506
98	113.1412103	185.6279639
99	113.0979421	185.5136959
100	113.0143258	185.4204509
