iter	Passed	Remaining
0	99	59814
1	131	39440
2	155	30845
3	173	25806
4	195	23231
5	230	22822
6	259	21944
7	280	20786
8	303	19901
9	331	19568
10	357	19134
11	384	18838
12	409	18481
13	433	18130
14	456	17795
15	494	18032
16	524	17981
17	545	17637
18	572	17501
19	596	17286
20	618	17039
21	642	16873
22	664	16661
23	684	16421
24	714	16431
25	741	16374
26	773	16408
27	796	16276
28	826	16274
29	848	16117
30	873	16037
31	905	16071
32	930	15995
33	958	15959
34	989	15971
35	1015	15909
36	1041	15842
37	1067	15791
38	1094	15747
39	1125	15751
40	1164	15882
41	1193	15858
42	1229	15925
43	1279	16172
44	1317	16254
45	1355	16320
46	1393	16399
47	1423	16364
48	1453	16348
49	1499	16498
50	1524	16406
51	1563	16472
52	1601	16532
53	1626	16449
54	1656	16417
55	1683	16356
56	1713	16322
57	1741	16270
58	1765	16188
59	1798	16188
60	1820	16083
61	1842	15989
62	1867	15921
63	1895	15873
64	1923	15834
65	1944	15729
66	1973	15697
67	2007	15706
68	2038	15690
69	2064	15633
70	2082	15518
71	2108	15462
72	2128	15368
73	2154	15311
74	2180	15264
75	2206	15216
76	2232	15161
77	2256	15100
78	2275	15004
79	2306	14991
80	2324	14891
81	2355	14880
82	2383	14849
83	2416	14844
84	2440	14786
85	2465	14736
86	2496	14722
87	2518	14652
88	2542	14600
89	2563	14526
90	2581	14439
91	2603	14373
92	2626	14318
93	2651	14275
94	2680	14250
95	2703	14194
96	2730	14157
97	2757	14124
98	2790	14122
99	2820	14101
100	2855	14107
101	2882	14073
102	2907	14030
103	2934	13995
104	2958	13947
105	3000	13981
106	3034	13981
107	3077	14019
108	3106	13991
109	3132	13953
110	3162	13932
111	3185	13878
112	3212	13844
113	3232	13779
114	3254	13727
115	3284	13702
116	3313	13680
117	3337	13631
118	3364	13600
119	3391	13566
120	3426	13565
121	3447	13507
122	3472	13466
123	3505	13455
124	3527	13405
125	3563	13404
126	3599	13407
127	3638	13417
128	3663	13375
129	3688	13336
130	3724	13333
131	3760	13332
132	3788	13302
133	3821	13289
134	3846	13248
135	3874	13218
136	3907	13205
137	3934	13173
138	3964	13149
139	3990	13112
140	4024	13102
141	4058	13089
142	4086	13060
143	4114	13029
144	4136	12980
145	4159	12932
146	4188	12907
147	4212	12865
148	4239	12830
149	4265	12796
150	4292	12765
151	4315	12718
152	4339	12678
153	4375	12671
154	4405	12646
155	4431	12613
156	4458	12581
157	4487	12553
158	4509	12506
159	4536	12474
160	4575	12475
161	4605	12451
162	4631	12415
163	4663	12397
164	4691	12368
165	4719	12340
166	4756	12332
167	4789	12315
168	4822	12298
169	4854	12278
170	4883	12251
171	4913	12227
172	4943	12201
173	4977	12185
174	5001	12145
175	5030	12118
176	5060	12094
177	5091	12070
178	5128	12062
179	5158	12035
180	5191	12018
181	5210	11968
182	5243	11948
183	5270	11916
184	5296	11880
185	5319	11841
186	5345	11805
187	5384	11799
188	5413	11772
189	5445	11751
190	5480	11736
191	5544	11781
192	5584	11777
193	5614	11750
194	5656	11747
195	5685	11719
196	5716	11694
197	5740	11654
198	5770	11627
199	5792	11585
200	5822	11557
201	5847	11520
202	5877	11493
203	5903	11458
204	5939	11443
205	5971	11420
206	6003	11397
207	6033	11370
208	6069	11355
209	6108	11345
210	6131	11304
211	6158	11271
212	6182	11232
213	6201	11185
214	6275	11238
215	6296	11193
216	6319	11154
217	6349	11125
218	6367	11078
219	6389	11035
220	6411	10994
221	6438	10962
222	6466	10932
223	6499	10909
224	6529	10881
225	6583	10895
226	6627	10889
227	6652	10854
228	6679	10820
229	6702	10782
230	6728	10748
231	6760	10723
232	6785	10687
233	6808	10649
234	6844	10630
235	6878	10609
236	6908	10581
237	6932	10545
238	6952	10501
239	6985	10477
240	7012	10445
241	7035	10407
242	7054	10364
243	7078	10327
244	7097	10284
245	7123	10250
246	7143	10208
247	7168	10175
248	7195	10142
249	7222	10111
250	7253	10085
251	7276	10048
252	7306	10020
253	7334	9991
254	7363	9962
255	7383	9921
256	7419	9901
257	7445	9870
258	7470	9835
259	7496	9802
260	7520	9768
261	7545	9734
262	7578	9710
263	7599	9672
264	7621	9634
265	7641	9595
266	7666	9562
267	7701	9540
268	7725	9506
269	7753	9476
270	7783	9449
271	7813	9422
272	7835	9385
273	7858	9350
274	7892	9326
275	7914	9290
276	7941	9260
277	7977	9240
278	8015	9222
279	8044	9193
280	8067	9158
281	8095	9129
282	8119	9094
283	8138	9055
284	8163	9023
285	8196	8999
286	8219	8963
287	8246	8934
288	8276	8906
289	8295	8867
290	8326	8841
291	8355	8812
292	8383	8783
293	8410	8753
294	8441	8728
295	8465	8694
296	8492	8664
297	8526	8640
298	8558	8615
299	8583	8583
300	8600	8543
301	8621	8507
302	8653	8482
303	8686	8457
304	8709	8423
305	8734	8391
306	8756	8357
307	8782	8325
308	8803	8290
309	8826	8257
310	8861	8235
311	8885	8202
312	8917	8176
313	8942	8145
314	8968	8114
315	8991	8080
316	9016	8049
317	9041	8018
318	9061	7981
319	9078	7943
320	9107	7916
321	9127	7880
322	9149	7846
323	9170	7812
324	9198	7783
325	9227	7755
326	9250	7722
327	9273	7689
328	9295	7656
329	9324	7629
330	9354	7602
331	9381	7572
332	9400	7537
333	9427	7507
334	9448	7473
335	9468	7439
336	9494	7409
337	9525	7383
338	9551	7353
339	9579	7325
340	9605	7295
341	9633	7267
342	9659	7237
343	9684	7207
344	9706	7174
345	9728	7141
346	9754	7111
347	9772	7076
348	9788	7039
349	9824	7017
350	9848	6986
351	9871	6955
352	9895	6924
353	9924	6896
354	9952	6868
355	9977	6838
356	10004	6809
357	10030	6780
358	10056	6750
359	10087	6725
360	10112	6695
361	10141	6667
362	10162	6635
363	10190	6606
364	10215	6577
365	10233	6542
366	10248	6506
367	10275	6478
368	10299	6447
369	10320	6415
370	10337	6381
371	10381	6363
372	10405	6332
373	10429	6302
374	10448	6268
375	10468	6236
376	10494	6207
377	10524	6181
378	10559	6157
379	10588	6130
380	10616	6102
381	10641	6072
382	10663	6041
383	10690	6013
384	10723	5988
385	10743	5956
386	10768	5927
387	10787	5894
388	10814	5865
389	10841	5837
390	10863	5806
391	10881	5773
392	10900	5741
393	10936	5718
394	10959	5687
395	10988	5660
396	11015	5632
397	11050	5608
398	11081	5582
399	11107	5553
400	11133	5525
401	11162	5498
402	11201	5475
403	11226	5446
404	11249	5416
405	11271	5385
406	11298	5357
407	11318	5326
408	11336	5294
409	11359	5263
410	11376	5231
411	11399	5201
412	11427	5174
413	11454	5146
414	11480	5117
415	11514	5093
416	11555	5071
417	11576	5040
418	11603	5012
419	11632	4985
420	11657	4956
421	11687	4929
422	11732	4909
423	11757	4880
424	11774	4848
425	11797	4818
426	11820	4789
427	11847	4761
428	11876	4733
429	11906	4707
430	11934	4679
431	11963	4652
432	11993	4625
433	12029	4601
434	12056	4573
435	12083	4545
436	12115	4519
437	12144	4491
438	12168	4462
439	12187	4431
440	12214	4403
441	12239	4375
442	12263	4346
443	12294	4319
444	12319	4291
445	12350	4264
446	12374	4235
447	12394	4205
448	12419	4176
449	12447	4149
450	12474	4121
451	12497	4092
452	12530	4066
453	12563	4040
454	12592	4012
455	12621	3985
456	12652	3958
457	12684	3932
458	12709	3904
459	12732	3874
460	12761	3847
461	12790	3820
462	12815	3792
463	12847	3765
464	12872	3737
465	12896	3708
466	12930	3682
467	12958	3655
468	12989	3628
469	13024	3602
470	13051	3574
471	13079	3546
472	13103	3518
473	13134	3491
474	13162	3463
475	13188	3435
476	13219	3408
477	13248	3381
478	13278	3354
479	13311	3327
480	13339	3300
481	13373	3274
482	13405	3247
483	13432	3219
484	13454	3190
485	13481	3162
486	13510	3134
487	13544	3108
488	13576	3081
489	13600	3053
490	13631	3026
491	13650	2996
492	13676	2968
493	13701	2940
494	13725	2911
495	13756	2884
496	13786	2857
497	13812	2829
498	13842	2801
499	13871	2774
500	13893	2745
501	13916	2716
502	13944	2689
503	13976	2662
504	14011	2635
505	14032	2606
506	14063	2579
507	14092	2552
508	14115	2523
509	14144	2496
510	14169	2467
511	14194	2439
512	14224	2412
513	14241	2382
514	14266	2354
515	14299	2327
516	14336	2301
517	14363	2273
518	14397	2247
519	14430	2220
520	14456	2192
521	14490	2165
522	14520	2137
523	14568	2113
524	14614	2087
525	14639	2059
526	14676	2032
527	14719	2007
528	14768	1982
529	14806	1955
530	14839	1928
531	14880	1901
532	14917	1875
533	14953	1848
534	14972	1819
535	14995	1790
536	15025	1762
537	15054	1734
538	15075	1706
539	15105	1678
540	15130	1650
541	15151	1621
542	15175	1592
543	15199	1564
544	15223	1536
545	15254	1508
546	15278	1480
547	15305	1452
548	15343	1425
549	15395	1399
550	15435	1372
551	15462	1344
552	15492	1316
553	15520	1288
554	15551	1260
555	15586	1233
556	15614	1205
557	15638	1177
558	15668	1149
559	15691	1120
