,Collection,BrandLine,Material,StyleCode,GridValue,Style,Region,Size,Color,Month,Demand,Color_Base,Color_Finish,Is_Multicolor,OpticalOrSun,BrandName
0,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2023-09,26.0,black,shiny,0.0,Sun,Calvin Klein
1,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2023-10,28.0,black,shiny,0.0,Sun,Calvin Klein
2,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2023-11,27.0,black,shiny,0.0,Sun,Calvin Klein
3,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2023-12,26.0,black,shiny,0.0,Sun,Calvin Klein
4,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2024-01,9.0,black,shiny,0.0,Sun,Calvin Klein
5,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2024-02,24.0,black,shiny,0.0,Sun,Calvin Klein
6,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2024-03,21.0,black,shiny,0.0,Sun,Calvin Klein
7,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2024-04,35.0,black,shiny,0.0,Sun,Calvin Klein
8,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2024-05,21.0,black,shiny,0.0,Sun,Calvin Klein
9,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2024-06,20.0,black,shiny,0.0,Sun,Calvin Klein
10,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2024-07,32.0,black,shiny,0.0,Sun,Calvin Klein
11,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,AMER,57,BLACK,2024-08,16.0,black,shiny,0.0,Sun,Calvin Klein
12,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2023-09,10.0,black,shiny,0.0,Sun,Calvin Klein
13,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2023-10,18.0,black,shiny,0.0,Sun,Calvin Klein
14,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2023-11,11.0,black,shiny,0.0,Sun,Calvin Klein
15,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2023-12,11.0,black,shiny,0.0,Sun,Calvin Klein
16,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2024-01,46.0,black,shiny,0.0,Sun,Calvin Klein
17,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2024-02,36.0,black,shiny,0.0,Sun,Calvin Klein
18,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2024-03,84.0,black,shiny,0.0,Sun,Calvin Klein
19,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2024-04,22.0,black,shiny,0.0,Sun,Calvin Klein
20,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2024-05,29.0,black,shiny,0.0,Sun,Calvin Klein
21,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2024-06,131.0,black,shiny,0.0,Sun,Calvin Klein
22,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2024-07,14.0,black,shiny,0.0,Sun,Calvin Klein
23,KC,CALVIN KLEIN SUN,45073,CK20541S,5719001,CK20541S/57/BLACK,EMEA,57,BLACK,2024-08,46.0,black,shiny,0.0,Sun,Calvin Klein
24,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,AMER,57,DARK TOR,2023-09,33.0,tortoise,shiny,0.0,Sun,Calvin Klein
25,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,AMER,57,DARK TOR,2023-10,39.0,tortoise,shiny,0.0,Sun,Calvin Klein
26,KC,CALVIN KLEIN SUN,45073,CK20541S,5719235,CK20541S/57/DARK TOR,AMER,57,DARK TOR,2023-11,14.0,tortoise,shiny,0.0,Sun,Calvin Klein
