Unnamed: 0,Collection,BrandLine,Material,StyleCode,GridValue,Style,Region,Size,Color,Month,Demand,Color_Base,Color_Finish,Is_Multicolor,OpticalOrSun,BrandName,Brand_Tier,Lookalike_ID,Date,Glasses,Sunglasses,Glasses_3m_avg,Sunglasses_3m_avg,Glasses_pct_change,Sunglasses_pct_change,Trend_acetate_frame_glasses,Trend_Calvin_Klein_frames,Trend_FSA_glasses,Trend_metal_frame_glasses,Trend_Lacoste_frames,Trend_Nike_frames
7092,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2023-09,6.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60
7093,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2023-10,10.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58
7094,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2023-11,2.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73
7095,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2023-12,2.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93
7096,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2024-01,8.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67
7097,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2024-02,6.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66
7098,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2024-03,7.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62
7099,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2024-04,11.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63
7100,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2024-05,8.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-05-01,45,30,67.0,25.0,4.44%,6.67%,18,70,18,41,48,57
7101,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2024-06,10.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-06-01,47,32,66.0,29.0,-2.13%,-9.38%,20,85,21,42,37,60
7102,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2024-07,3.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-07-01,46,29,64.0,31.0,2.17%,-13.79%,0,80,18,39,70,62
7103,KO,NIKE OPTICAL,NKRXCLIPIII,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2024-08,4.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-08-01,47,25,46.0,30.0,-2.13%,-20.00%,18,75,20,48,63,55
5184,KO,NIKE OPTICAL,NK5059,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,2023-09,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60
5185,KO,NIKE OPTICAL,NK5059,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,2023-10,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58
5186,KO,NIKE OPTICAL,NK5059,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,2023-11,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73
5187,KO,NIKE OPTICAL,NK5059,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,2023-12,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93
5188,KO,NIKE OPTICAL,NK5059,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,2024-01,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67
5189,KO,NIKE OPTICAL,NK5059,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,2024-02,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66
5190,KO,NIKE OPTICAL,NK5059,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,2024-03,1.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62
