,Collection,BrandLine,StyleCode,GridValue,Style,Region,Size,Color,Demand,Color_Base,Color_Finish,Is_Multicolor,OpticalOrSun,BrandName,Brand_Tier,Lookalike_ID,Date,Glasses,Sunglasses,Glasses_3m_avg,Sunglasses_3m_avg,Glasses_pct_change,Sunglasses_pct_change,Trend_acetate_frame_glasses,Trend_Calvin_Klein_frames,Trend_FSA_glasses,Trend_metal_frame_glasses,Trend_Lacoste_frames,Trend_Nike_frames,Shape,FrameType,Material,is_summer,is_holiday_season,is_insurance_reset,4m_demand
0,KO,NIKE OPTICAL,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,6.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Oval,Half,Plastic,0,0,0,22.0
1,KO,NIKE OPTICAL,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,10.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Oval,Half,Plastic,0,0,0,18.0
2,KO,NIKE OPTICAL,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Oval,Half,Plastic,0,1,0,23.0
3,KO,NIKE OPTICAL,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,2.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Oval,Half,Plastic,0,1,0,32.0
4,KO,NIKE OPTICAL,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,8.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Oval,Half,Plastic,0,0,1,32.0
5,KO,NIKE OPTICAL,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,6.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Oval,Half,Plastic,0,0,0,36.0
6,KO,NIKE OPTICAL,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,7.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Oval,Half,Plastic,0,0,0,32.0
7,KO,NIKE OPTICAL,NIKE RX CLIP III VIC,4520900,NIKE RX CLIP III VIC,AMER,Unknown,,11.0,Unknown,Unknown,0.0,Optical,Nike,Sport,Nike_Unknown_NKRXCLIPIII,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Oval,Half,Plastic,0,0,0,25.0
12,KO,NIKE OPTICAL,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,0.0
13,KO,NIKE OPTICAL,NIKE 5059,4615008,NIKE 5059/46/BLACK/T,AMER,46,BLACK/T,0.0,black,shiny,1.0,Optical,Nike,Sport,Nike_black_NK5059,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,0.0
