,_SHEET_TYPE,BASECURVE,EURORETAILPRICE,RELEASEDATE,PROTOTYPECODE,GENDER,FRAMECONSTRUCTION,SUNOPTICAL,SIZES,FIT,_BRAND,MATERIALCODE1,BRAND,RXABLE,MATERIALCODE2,COLORCODE,COLORDESCRIPTION,MADEIN,USWHOLESALEPRICE,EUROWHOLESALEPRICE,MATERIALNUMBER,RECOMMENDEDREASONS,USRETAILPRICE,FAMILY,FRAMESHAPE,NOTES,Color_Base,Color_Finish,Is_Multicolor,Date,Glasses_3m_avg_x,Sunglasses_3m_avg_x,acetate frame glasses_x,Calvin Klein frames_x,FSA glasses_x,Lacoste frames_x,metal frame glasses_x,Nike frames_x,Glasses_3m_avg_y,Sunglasses_3m_avg_y,acetate frame glasses_y,Calvin Klein frames_y,FSA glasses_y,Lacoste frames_y,metal frame glasses_y,Nike frames_y
0,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397D1,F,Full,Sun,53-17-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,1,BLACK,CHINA ONLY,"104,50","86,00",CK24110S,ADV,"209,00",AVANTGARDE,Butterfly,,black,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
1,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397D1,F,Full,Sun,53-17-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,14,LIGHT GUNMETAL,CHINA ONLY,"104,50","86,00",CK24110S,Potential ADV,"209,00",AVANTGARDE,Butterfly,,grey,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
2,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397D1,F,Full,Sun,53-17-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,200,BROWN,CHINA ONLY,"104,50","86,00",CK24110S,Potential ADV,"209,00",AVANTGARDE,Butterfly,,brown,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
3,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397D1,F,Full,Sun,53-17-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,716,LIGHT GOLD,CHINA ONLY,"104,50","86,00",CK24110S,Potential ADV,"209,00",AVANTGARDE,Butterfly,,green,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
4,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397A1,U,Full,Sun,55-18-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,2,MATTE BLACK,CHINA ONLY,"104,50","86,00",CK24111S,,"209,00",AVANTGARDE,Rectangle,,black,matte,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
5,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397A1,U,Full,Sun,55-18-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,70,amber gold,CHINA ONLY,"104,50","86,00",CK24111S,,"209,00",AVANTGARDE,Rectangle,,gold,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
6,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397A1,U,Full,Sun,55-18-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,716,LIGHT GOLD,CHINA ONLY,"104,50","86,00",CK24111S,,"209,00",AVANTGARDE,Rectangle,,green,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
7,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397A1,U,Full,Sun,55-18-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,True,METAL,771,AMBER GOLD,CHINA ONLY,"104,50","86,00",CK24111S,,"209,00",AVANTGARDE,Rectangle,,gold,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
8,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E11424C1,F,Full,Sun,53-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,1,BLACK,CHINA ONLY,"112,50","92,50",CK24531S,Potential ADV,"225,00",AVANTGARDE,Butterfly,,black,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
9,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E11424C1,F,Full,Sun,53-20-145,GLOBAL,Calvin Klein,Plastic,CALVIN KLEIN,False,ACETATE,240,HAVANA,CHINA ONLY,"112,50","92,50",CK24531S,Potential ADV,"225,00",AVANTGARDE,Butterfly,,tortoise,shiny,0,2024-01-01,46.0,19.0,20,75,35,67,39,67,46.0,19.0,20,75,35,67,39,67
