Time,Glasses,Sunglasses,Glasses_3m_avg,Sunglasses_3m_avg,Glasses_pct_change,Sunglasses_pct_change
1/1/2023,43,17,,,-4.65%,23.53%
2/1/2023,41,21,,,7.32%,9.52%
3/1/2023,44,23,,,-4.55%,13.04%
4/1/2023,42,26,43,20,-2.38%,19.23%
5/1/2023,41,31,42,23,4.88%,9.68%
6/1/2023,43,34,42,27,-2.33%,-2.94%
7/1/2023,42,33,42,30,-7.14%,-24.24%
8/1/2023,39,25,42,33,2.56%,-4.00%
9/1/2023,40,24,41,31,20.00%,-20.83%
10/1/2023,48,19,40,27,-10.42%,0.00%
11/1/2023,43,19,42,23,6.98%,0.00%
12/1/2023,46,19,44,21,2.17%,-15.79%
1/1/2024,47,16,46,19,2.13%,18.75%
2/1/2024,48,19,45,18,12.50%,31.58%
3/1/2024,54,25,47,18,85.19%,24.00%
4/1/2024,100,31,50,20,-55.00%,-3.23%
5/1/2024,45,30,67,25,4.44%,6.67%
6/1/2024,47,32,66,29,-2.13%,-9.38%
7/1/2024,46,29,64,31,2.17%,-13.79%
8/1/2024,47,25,46,30,-2.13%,-20.00%
9/1/2024,46,20,47,29,4.35%,-5.00%
10/1/2024,48,19,46,25,0.00%,0.00%
11/1/2024,48,19,47,21,8.33%,0.00%
12/1/2024,52,19,47,19,-3.85%,-15.79%
1/1/2025,50,16,49,19,,
