,_SHEET_TYPE,BASECURVE,EURORETAILPRICE,RELEASEDATE,PROTOTYPECODE,GENDER,FRAMECONSTRUCTION,SUNOPTICAL,SIZES,FIT,_BRAND,MATERIALCODE1,BRAND,RXABLE,MATERIALCODE2,COLORCODE,COLORDESCRIPTION,MADEIN,USWHOLESALEPRICE,EUROWHOLESALEPRICE,MATERIALNUMBER,RECOMMENDEDREASONS,USRETAILPRICE,FAMILY,FRAMESHAPE,NOTES,Color_Base,Color_Finish,Is_Multicolor
0,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397D1,F,FULL RIM,Sun,53-17-145,GLOBAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,1,BLACK,CHINA ONLY,"104,50","86,00",CK24110S,ADV,"209,00",AVANTGARDE,BUTTERFLY,,black,shiny,0
1,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397D1,F,FULL RIM,Sun,53-17-145,GLOBAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,14,LIGHT GUNMETAL,CHINA ONLY,"104,50","86,00",CK24110S,Potential ADV,"209,00",AVANTGARDE,BUTTERFLY,,grey,shiny,0
2,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397D1,F,FULL RIM,Sun,53-17-145,GLOBAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,200,BROWN,CHINA ONLY,"104,50","86,00",CK24110S,Potential ADV,"209,00",AVANTGARDE,BUTTERFLY,,brown,shiny,0
3,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397D1,F,FULL RIM,Sun,53-17-145,GLOBAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,716,LIGHT GOLD,CHINA ONLY,"104,50","86,00",CK24110S,Potential ADV,"209,00",AVANTGARDE,BUTTERFLY,,green,shiny,0
4,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397A1,U,FULL RIM,Sun,55-18-145,GLOBAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,2,MATTE BLACK,CHINA ONLY,"104,50","86,00",CK24111S,,"209,00",AVANTGARDE,MODIFIED RECTANGLE,,black,matte,0
5,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397A1,U,FULL RIM,Sun,55-18-145,GLOBAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,70,amber gold,CHINA ONLY,"104,50","86,00",CK24111S,,"209,00",AVANTGARDE,MODIFIED RECTANGLE,,gold,shiny,0
6,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397A1,U,FULL RIM,Sun,55-18-145,GLOBAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,716,LIGHT GOLD,CHINA ONLY,"104,50","86,00",CK24111S,,"209,00",AVANTGARDE,MODIFIED RECTANGLE,,green,shiny,0
7,Sun,2,"190,00",CALVIN KLEIN - SEP 2024,E11397A1,U,FULL RIM,Sun,55-18-145,GLOBAL,Calvin Klein,METAL,CALVIN KLEIN,True,METAL,771,AMBER GOLD,CHINA ONLY,"104,50","86,00",CK24111S,,"209,00",AVANTGARDE,MODIFIED RECTANGLE,,gold,shiny,0
8,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E11424C1,F,FULL RIM,Sun,53-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,1,BLACK,CHINA ONLY,"112,50","92,50",CK24531S,Potential ADV,"225,00",AVANTGARDE,BUTTERFLY,,black,shiny,0
9,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E11424C1,F,FULL RIM,Sun,53-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,240,HAVANA,CHINA ONLY,"112,50","92,50",CK24531S,Potential ADV,"225,00",AVANTGARDE,BUTTERFLY,,tortoise,shiny,0
10,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E11424C1,F,FULL RIM,Sun,53-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,412,LIGHT AZURE,CHINA ONLY,"112,50","92,50",CK24531S,Potential ADV,"225,00",AVANTGARDE,BUTTERFLY,,blue,shiny,0
11,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E11424C1,F,FULL RIM,Sun,53-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,601,ROSE,CHINA ONLY,"112,50","92,50",CK24531S,Potential ADV,"225,00",AVANTGARDE,BUTTERFLY,,pink,shiny,0
12,Sun,2,"205,00",CALVIN KLEIN - SEP 2024,E11424B1,M,FULL RIM,Sun,54-20-145,GLOBAL,Calvin Klein,ACETATE,CALVIN KLEIN,False,ACETATE,1,BLACK,CHINA ONLY,"112,50","92,50",CK24532S,Potential ADV,"225,00",AVANTGARDE,MODIFIED RECTANGLE,,black,shiny,0
