Collection,BrandLine,Material,Shape,FrameType,StyleCode,GridValue,Style,Region
KC,CALVIN KLEIN SUN,Plastic,Butterfly,Full,CK20541S,5719001,CK20541S/57/BLACK,AMER
KC,CALVIN KLEIN SUN,Plastic,Butterfly,Full,CK20541S,5719001,CK20541S/57/BLACK,EMEA
KC,CALVIN KLEIN SUN,Plastic,Butterfly,Full,CK20541S,5719235,CK20541S/57/DARK TOR,AMER
KC,CALVIN KLEIN SUN,Plastic,Butterfly,Full,CK20541S,5719235,CK20541S/57/DARK TOR,EMEA
KC,CALVIN KLEIN SUN,Plastic,Butterfly,Full,CK20541S,5719605,CK20541S/57/CRYSTAL,AMER
KC,CALVIN KLEIN SUN,Plastic,Butterfly,Full,CK20541S,5719605,CK20541S/57/CRYSTAL,EMEA
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK21529S,5516001,CK21529S/55/BLACK,AMER
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK21529S,5516001,CK21529S/55/BLACK,EMEA
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK21529S,5516220,CK21529S/55/BROWN HA,AMER
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK21529S,5516220,CK21529S/55/BROWN HA,EMEA
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK21529S,5516435,CK21529S/55/AVIO,AMER
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK21529S,5516435,CK21529S/55/AVIO,EMEA
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK21529S,5516601,CK21529S/55/ROSE,AMER
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK21529S,5516601,CK21529S/55/ROSE,EMEA
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK21131S,5620001,CK21131S/56/BLACK,AMER
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK21131S,5620001,CK21131S/56/BLACK,EMEA
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK21131S,5620200,CK21131S/56/BROWN,AMER
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK21131S,5620200,CK21131S/56/BROWN,EMEA
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK21131S,5620208,CK21131S/56/SAND,AMER
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK21131S,5620208,CK21131S/56/SAND,EMEA
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK21131S,5620438,CK21131S/56/BLUE,AMER
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK21131S,5620438,CK21131S/56/BLUE,EMEA
KC,CALVIN KLEIN SUN,Plastic,Round,Full,CK22533S,5221001,CK22533S/52/BLACK,AMER
KC,CALVIN KLEIN SUN,Plastic,Round,Full,CK22533S,5221001,CK22533S/52/BLACK,EMEA
KC,CALVIN KLEIN SUN,Plastic,Round,Full,CK22533S,5221058,CK22533S/52/OYSTER,AMER
KC,CALVIN KLEIN SUN,Plastic,Round,Full,CK22533S,5221058,CK22533S/52/OYSTER,EMEA
KC,CALVIN KLEIN SUN,Plastic,Round,Full,CK22533S,5221220,CK22533S/52/BROWN HA,AMER
KC,CALVIN KLEIN SUN,Plastic,Round,Full,CK22533S,5221220,CK22533S/52/BROWN HA,EMEA
KC,CALVIN KLEIN SUN,Plastic,Round,Full,CK22533S,5221729,CK22533S/52/BUTTERSC,AMER
KC,CALVIN KLEIN SUN,Plastic,Round,Full,CK22533S,5221729,CK22533S/52/BUTTERSC,EMEA
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK23100S,5618001,CK23100S/56/BLACK,AMER
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK23100S,5618001,CK23100S/56/BLACK,EMEA
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK23100S,5618413,CK23100S/56/AZURE,AMER
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK23100S,5618413,CK23100S/56/AZURE,EMEA
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK23100S,5618717,CK23100S/56/GOLD,AMER
KC,CALVIN KLEIN SUN,Metal,Rectangle,Full,CK23100S,5618717,CK23100S/56/GOLD,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23508S,5420001,CK23508S/54/BLACK,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23508S,5420001,CK23508S/54/BLACK,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23508S,5420200,CK23508S/54/BROWN,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23508S,5420200,CK23508S/54/BROWN,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23508S,5420220,CK23508S/54/BROWN HA,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23508S,5420220,CK23508S/54/BROWN HA,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23508S,5420435,CK23508S/54/AVIO,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23508S,5420435,CK23508S/54/AVIO,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23509S,5122220,CK23509S/51/BROWN HA,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23509S,5122220,CK23509S/51/BROWN HA,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23509S,5122438,CK23509S/51/BLUE,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23509S,5122438,CK23509S/51/BLUE,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23538S,5518235,CK23538S/55/DARK HAV,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23538S,5518235,CK23538S/55/DARK HAV,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23538S,5518400,CK23538S/55/BLUE,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23538S,5518400,CK23538S/55/BLUE,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23538S,5518515,CK23538S/55/VIOLET,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23538S,5518515,CK23538S/55/VIOLET,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23539S,5121001,CK23539S/51/BLACK,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23539S,5121001,CK23539S/51/BLACK,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23539S,5121035,CK23539S/51/GREY,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23539S,5121035,CK23539S/51/GREY,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23539S,5121281,CK23539S/51/TOKYO HA,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23539S,5121281,CK23539S/51/TOKYO HA,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23539S,5121400,CK23539S/51/BLUE,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK23539S,5121400,CK23539S/51/BLUE,EMEA
KC,CALVIN KLEIN SUN,Metal,Pilot,Full,CK24100S,5715002,CK24100S/57/MATTE BL,AMER
KC,CALVIN KLEIN SUN,Metal,Pilot,Full,CK24100S,5715002,CK24100S/57/MATTE BL,EMEA
KC,CALVIN KLEIN SUN,Metal,Pilot,Full,CK24100S,5715045,CK24100S/57/SILVER,AMER
KC,CALVIN KLEIN SUN,Metal,Pilot,Full,CK24100S,5715045,CK24100S/57/SILVER,EMEA
KC,CALVIN KLEIN SUN,Metal,Pilot,Full,CK24100S,5715720,CK24100S/57/MATTE GO,AMER
KC,CALVIN KLEIN SUN,Metal,Pilot,Full,CK24100S,5715720,CK24100S/57/MATTE GO,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24505S,5517432,CK24505S/55/PETROL,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24505S,5517432,CK24505S/55/PETROL,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24505S,5517605,CK24505S/55/BURGUNDY,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24505S,5517605,CK24505S/55/BURGUNDY,EMEA
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK24507S,5717001,CK24507S/57/BLACK,AMER
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK24507S,5717001,CK24507S/57/BLACK,EMEA
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK24507S,5717039,CK24507S/57/GREY/BEI,AMER
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK24507S,5717039,CK24507S/57/GREY/BEI,EMEA
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK24507S,5717338,CK24507S/57/MINT,AMER
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK24507S,5717338,CK24507S/57/MINT,EMEA
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK24507S,5717516,CK24507S/57/VIOLET/B,AMER
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK24507S,5717516,CK24507S/57/VIOLET/B,EMEA
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK24507S,5717601,CK24507S/57/ROSE,AMER
KC,CALVIN KLEIN SUN,Plastic,Cat Eye,Full,CK24507S,5717601,CK24507S/57/ROSE,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24509S,5616012,CK24509S/56/BLACK/PI,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24509S,5616012,CK24509S/56/BLACK/PI,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24509S,5616203,CK24509S/56/STRIPED,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24509S,5616203,CK24509S/56/STRIPED,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24509S,5616339,CK24509S/56/GREEN/MI,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24509S,5616339,CK24509S/56/GREEN/MI,EMEA
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24509S,5616613,CK24509S/56/CHERRY/R,AMER
KC,CALVIN KLEIN SUN,Plastic,Rectangle,Full,CK24509S,5616613,CK24509S/56/CHERRY/R,EMEA
